iter	Logloss
0	0.6444611219
1	0.6064728307
2	0.5701773767
3	0.5346322539
4	0.5083945676
5	0.4865776262
6	0.4619409466
7	0.4456021387
8	0.4285797341
9	0.4142742953
10	0.4011130788
11	0.3876347054
12	0.3767411471
13	0.3691817329
14	0.3615126674
15	0.3549345684
16	0.3468323537
17	0.3407762741
18	0.3336548887
19	0.3286104143
20	0.3237467606
21	0.3207726668
22	0.316402077
23	0.3127129254
24	0.3103325548
25	0.3068520894
26	0.3040407423
27	0.3012693082
28	0.2988867049
29	0.2964164162
30	0.2938154285
31	0.2910585673
32	0.2892665657
33	0.2866223923
34	0.2849704376
35	0.2826343406
36	0.2807766206
37	0.2787646091
38	0.27676183
39	0.2753292436
40	0.2739293042
41	0.2723754762
42	0.2710819152
43	0.2696872577
44	0.2680415548
45	0.2666476035
46	0.2655892738
47	0.2636900826
48	0.2619580467
49	0.2605509358
50	0.2590991484
51	0.2581619341
52	0.2572152114
53	0.2562511997
54	0.2548240891
55	0.2536131361
56	0.2528136742
57	0.2521073321
58	0.251041812
59	0.2499403783
60	0.2488730764
61	0.2475714979
62	0.2468870797
63	0.2456524034
64	0.2446627854
65	0.2439172241
66	0.242936097
67	0.2425191307
68	0.2413212207
69	0.2403997639
70	0.2392868541
71	0.2382096595
72	0.2374210418
73	0.2364386914
74	0.2358286892
75	0.2350517689
76	0.2345411999
77	0.2336569871
78	0.2328536112
79	0.2320715554
80	0.2314792486
81	0.2305085854
82	0.2297187812
83	0.2289879974
84	0.2284743532
85	0.2275893373
86	0.226676694
87	0.2260362034
88	0.2255599961
89	0.2244424855
90	0.2233403845
91	0.2225313468
92	0.221791365
93	0.2207886432
94	0.2198561995
95	0.2192991986
96	0.218306412
97	0.2178151281
98	0.2171451702
99	0.2162149072
100	0.2156264292
101	0.2148699405
102	0.2141616721
103	0.2135951913
104	0.2130243601
105	0.2122372016
106	0.2112912033
107	0.21037921
108	0.209696465
109	0.2088988323
110	0.2084618854
111	0.2080298802
112	0.2073158202
113	0.206857582
114	0.2062945962
115	0.2058250493
116	0.205285625
117	0.204495843
118	0.2039236317
119	0.2033441549
120	0.2029278864
121	0.2023293228
122	0.2014193893
123	0.200891693
124	0.199858539
125	0.1987873984
126	0.1979061508
127	0.1971117146
128	0.1962457029
129	0.1954670946
130	0.1949165558
131	0.1943651807
132	0.1938065876
133	0.1933290148
134	0.1927786831
135	0.1924583935
136	0.1917161588
137	0.1909941267
138	0.1904163124
139	0.1896587841
140	0.1889115103
141	0.1883191131
142	0.1875822553
143	0.187021243
144	0.1862917743
145	0.1855308637
146	0.1851247229
147	0.1846883338
148	0.1842349417
149	0.1836241124
150	0.1831330665
151	0.1827834347
152	0.1821395478
153	0.1814406798
154	0.1810661158
155	0.1805791917
156	0.1799991003
157	0.1793488614
158	0.1787012661
159	0.178293703
160	0.1778821207
161	0.1775495076
162	0.176916419
163	0.1762834876
164	0.1759310565
165	0.1756616519
166	0.1750873363
167	0.17450745
168	0.1740196372
169	0.1734177442
170	0.1726365687
171	0.1718430524
172	0.1710738004
173	0.1707775261
174	0.1703606162
175	0.169822771
176	0.1692900481
177	0.1689565416
178	0.1684375188
179	0.1679043253
180	0.1674035471
181	0.1668579256
182	0.1663740189
183	0.1658876734
184	0.165423615
