iter	Logloss
185	0.1649230972
186	0.1645655317
187	0.1641463214
188	0.1638169197
189	0.1637284892
190	0.1633408584
191	0.1628075512
192	0.1626735505
193	0.1621377429
194	0.1617738315
195	0.161393476
196	0.1608696536
197	0.160576153
198	0.1600818085
199	0.159693543
200	0.1592618282
201	0.1591497389
202	0.1587988806
203	0.1587552743
204	0.1585532939
205	0.1580707397
206	0.1579853247
207	0.1574846193
208	0.1570000836
209	0.1566508081
210	0.1562665759
211	0.1559270295
212	0.1558258388
213	0.155709884
214	0.1549964176
215	0.1545326557
216	0.1540337368
217	0.1538704543
218	0.1534533251
219	0.1530938006
220	0.1524686153
221	0.1515981426
222	0.1510437676
223	0.1502801354
224	0.1498636545
225	0.1494482283
226	0.1490373599
227	0.1485554571
228	0.1483414937
229	0.1478737454
230	0.1470802719
231	0.146816957
232	0.1463573808
233	0.1462808611
234	0.1458454789
235	0.1455400904
236	0.1449475579
237	0.1443679032
238	0.1439490587
239	0.1438454499
240	0.1434453096
241	0.1431058974
242	0.1428686459
243	0.1426032024
244	0.1425441072
245	0.1421841352
246	0.1420003336
247	0.1416683968
248	0.1416449786
249	0.1411363927
250	0.1409172029
251	0.1405686943
252	0.1399251191
253	0.1395086113
254	0.139089893
255	0.1388275043
256	0.1383663693
257	0.1378829746
258	0.1373330591
259	0.1369297276
260	0.1363249793
261	0.135997109
262	0.1357148598
263	0.1353819113
264	0.1349310054
265	0.1346377436
266	0.1342445465
267	0.1339172362
268	0.1335683506
269	0.1331415887
270	0.1328181672
271	0.1324509488
272	0.1320384952
273	0.1317136047
274	0.1313412838
275	0.1310825351
276	0.1310609472
277	0.1307674365
278	0.1304636967
279	0.1299578109
280	0.1298714781
281	0.1294814108
282	0.1292016511
283	0.1289619624
284	0.1284730899
285	0.1282094013
286	0.1279815652
287	0.1275517057
288	0.1273374108
289	0.1271714349
290	0.1267832607
291	0.1266191809
292	0.1263761503
293	0.126365671
294	0.1263261803
295	0.1261492408
296	0.1261417814
297	0.126119806
298	0.1257780079
299	0.1257563474
300	0.1257431782
301	0.1254419011
302	0.1252088404
303	0.1251874084
304	0.1251114927
305	0.1250916682
306	0.124900993
307	0.1244500994
308	0.1243760349
309	0.12416217
310	0.1241256871
311	0.123742946
312	0.1234633777
313	0.1230999701
314	0.1227129517
315	0.1223318166
316	0.1221588951
317	0.1218159822
318	0.1213395472
319	0.1211427619
320	0.1207632476
321	0.1206260219
322	0.1201667808
323	0.1199380721
324	0.1193769002
325	0.119049109
326	0.118544139
327	0.1180362622
328	0.1177589096
329	0.1175713849
330	0.117441636
331	0.1169671037
332	0.1164312786
333	0.1159499388
334	0.115620393
335	0.1150809796
336	0.1149950241
337	0.1147123581
338	0.1143442617
339	0.1139965633
340	0.1137499289
341	0.1134331562
342	0.1133176082
343	0.1130849528
344	0.1129365976
345	0.1126423035
346	0.11243972
347	0.1124267662
348	0.1121018049
349	0.1117363274
350	0.111594067
351	0.111240103
352	0.1111962651
353	0.1111808199
354	0.1109237945
355	0.1105246778
356	0.1105028119
357	0.1102051947
358	0.1097204819
359	0.1094330461
360	0.1091461943
361	0.1088899128
362	0.1085070586
363	0.108093382
364	0.1079081117
365	0.1074054533
366	0.1073803104
367	0.1073640193
368	0.1073447211
369	0.1070360759
370	0.1068567125
371	0.1067000273
372	0.1062982905
373	0.1060580648
374	0.1058411815
375	0.1056467824
376	0.1055018492
377	0.1052786819
378	0.1048664642
379	0.1046162042
380	0.1043031665
381	0.1040167731
382	0.1038082787
383	0.1036720503
384	0.1034194441
385	0.1031306119
386	0.1025682255
387	0.1023346005
388	0.1020100045
389	0.1017485214
390	0.1014299248
391	0.101217313
392	0.1009923554
393	0.1008139553
394	0.1005639371
395	0.1002699884
396	0.09998956258
397	0.09973223099
398	0.09957845053
399	0.09935434336
400	0.09917717201
401	0.09903026492
402	0.09882836071
403	0.0984073478
404	0.09819662005
405	0.09797849771
406	0.09771854863
407	0.09751436399
408	0.09720150642
409	0.0970289653
410	0.0969270184
411	0.09676508193
412	0.09658984298
413	0.09654559888
414	0.09625442865
415	0.09609938349
416	0.09587900981
417	0.0954812857
418	0.09514616519
419	0.09482782646
420	0.09455116591
421	0.09424261825
422	0.09393276789
423	0.09358432521
424	0.09329495068
425	0.09310642369
426	0.09290042033
427	0.0925563209
428	0.09220223476
429	0.09185484474
430	0.09167676969
431	0.09148818908
432	0.09128795735
433	0.09094762323
434	0.09065559721
435	0.09040207805
436	0.09019514652
437	0.08986336162
438	0.08952197269
439	0.08921873818
440	0.0889959959
441	0.08878205383
442	0.08854110814
443	0.08838165668
444	0.08813726366
445	0.0878517824
446	0.08752031911
447	0.08735281524
448	0.08708856653
449	0.08694757406
450	0.08660229334
451	0.08640376411
452	0.08619092167
453	0.08596429348
454	0.08572235245
455	0.08551234701
456	0.08534588882
457	0.08503531869
458	0.08487438259
459	0.08471936921
460	0.08456161818
461	0.08434427111
462	0.08413877489
463	0.08403745888
464	0.08379885575
465	0.08366113982
466	0.08349504074
467	0.08329125206
468	0.08314162729
469	0.08289372522
470	0.08271576618
471	0.0824985972
472	0.08229920622
473	0.08218294314
474	0.0820330869
475	0.0817212677
476	0.08154345467
477	0.08133569516
478	0.08115822407
479	0.08095204737
480	0.08078269858
481	0.080653134
482	0.08048411534
483	0.08033683236
484	0.08024392152
485	0.08008496516
486	0.07988863402
487	0.07981625681
488	0.07959167273
489	0.07950406296
490	0.07929776419
491	0.07897946748
492	0.0787610551
493	0.07857076684
494	0.07844418158
495	0.07822085075
496	0.07808170447
497	0.07789980793
498	0.07769032008
499	0.0775876822
